Armor_Type Name Cost_in_Crowns Armor_value
Helmet Serpentine_Cruz_Headpiece 90 23
Leggings Famed_Pon_Leggings 87 22
Leggings Ursine_Trousers 78 18
Helmet Keeton_Mask 77 24
Leggings Wolven_Shinguards 75 15
Leggings Hansen's_Breeches 69 17
Helmet Feline_Visor 68 16
Chest Armor_de_Jandro 67 22
Chest Chestpiece_of_Vachon 64 23
Boots Diamond_Boots 64 18
Leggings Griffin_Pants 62 11
Chest Kaer_Morhen_Armor 62 21
Helmet Ornate_Helmet_of_Cagampan 60 16
Chest Cured_Leather_Chestpiece 59 20
Leggings Tanned_Leg_Protection 59 15
Chest Smith's_Plated_Chestguard 58 10
Chest Dented_Plate_Armor 57 19
Leggings Manticore_Braces 56 12
Chest Jeweled_Drake_Tunic 55 19
Chest Ginger's_Gilded_Armor 54 18
Helmet Offner_Protector 54 15
Leggings Mail_Emares_Leggings 53 14
Boots Steel_Boots 52 14
Boots Tate's_Spiked_Cleats 52 20
Chest Garcia_Guard 50 17
Helmet Leather_Helmet 49 13
Leggings Woven_Leggings 47 11
Helmet Sligar's_Noggin_Protector 46 12
Leggings Silken_Pants 45 10
Helmet Glass_Bowl 44 12
Leggings Tattered_Shorts 42 13
Boots Leather_Lunde_Shoes 35 7
Boots Cloth_Shoes 33 5
